species,canonical,noncanonical,both,neither,sum
E.gracilis,0.16064371649351983,0.08857761279914389,0.0028575283417686926,0.7479211423655676,1734366
E.hiemalis,0.2300066047475241,0.1506549050118017,0.0036514693151148726,0.6156870209255593,1140089
E.longa,0.19233773053312828,0.09210396547633962,0.0028574246394233974,0.7127008793511087,375163
generowane_introny_0,0.00776,0.00846,6.9e-05,0.983711,1000000
generowane_introny_1,0.007769,0.008566,5.8e-05,0.983607,1000000
generowane_introny_2,0.008011,0.008393,6e-05,0.983536,1000000
generowane_introny_3,0.007917,0.008611,7e-05,0.983402,1000000
generowane_introny_4,0.007867,0.008374,6e-05,0.983699,1000000
