species,canonical,noncanonical,both,neither,sum
E.gracilis,0.14865086146753337,0.20062547351597068,0.014850383367755134,0.6358732816487408,1734366
E.hiemalis,0.21471657037301473,0.2664230599540913,0.01894150368962423,0.49991886598326973,1140089
E.longa,0.17993245602578078,0.20291180100383033,0.01526269914677087,0.601893043823618,375163
generowane_introny_0,0.007396,0.054228,0.000433,0.937943,1000000
generowane_introny_1,0.007437,0.054128,0.00039,0.938045,1000000
generowane_introny_2,0.00765,0.053785,0.000421,0.938144,1000000
generowane_introny_3,0.007543,0.054314,0.000444,0.937699,1000000
generowane_introny_4,0.007498,0.054241,0.000429,0.937832,1000000
